id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m
15410167,17482610,3000.0,3000.0,3000.0, 36 months,12.49,100.35,B,B4,Detention Officer,3 years,RENT,53000.0,Verified,May-2014,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=15410167,,vacation,Vacation,331xx,FL,12.0,0.0,Jul-2007,0.0,,88.0,4.0,1.0,21.0,0.6,6.0,w,0.0,0.0,3338.04,3338.04,3000.0,338.04,0.0,0.0,0.0,May-2015,2234.19,,May-2015,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,22302.0,,,,,,,,,,,,3500.0,,,
2380708,2843335,15575.0,15575.0,15550.0, 36 months,11.14,510.94,B,B2,,,MORTGAGE,58212.0,Verified,Dec-2012,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=2380708,  Borrower added on 12/10/12 > I want to pay off my credit cards sooner and with a lower interest rate.<br>,credit_card,Debt Consolidation,917xx,CA,17.96,0.0,Sep-1965,1.0,29.0,,18.0,0.0,38280.0,47.2,32.0,f,0.0,0.0,16864.1,16837.03,15575.0,1289.1,0.0,0.0,0.0,Oct-2013,12266.55,,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,38280.0,,,,,,,,,,,,81100.0,,,
36158372,38859906,10250.0,10250.0,10250.0, 36 months,13.66,348.64,C,C3,Coordinator,10+ years,RENT,85000.0,Source Verified,Dec-2014,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=36158372,,debt_consolidation,Debt consolidation,913xx,CA,7.88,2.0,Aug-1994,0.0,9.0,,9.0,0.0,3389.0,59.5,46.0,w,0.0,0.0,10531.97,10531.97,10250.0,281.97,0.0,0.0,0.0,Mar-2015,66.81,,Nov-2015,0.0,54.0,1.0,INDIVIDUAL,,,,0.0,0.0,103517.0,,,,,,,,,,,,5700.0,,,
40353078,43217897,28000.0,28000.0,28000.0, 36 months,6.49,858.05,A,A2,Senior Associate,< 1 year,MORTGAGE,130000.0,Source Verified,Feb-2015,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=40353078,,credit_card,Credit card refinancing,972xx,OR,10.78,1.0,Apr-1988,0.0,22.0,,23.0,0.0,41051.0,29.1,39.0,w,0.0,0.0,29022.8,29022.8,28000.0,1022.8,0.0,0.0,0.0,Sep-2015,23884.6,,Sep-2015,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,335539.0,,,,,,,,,,,,141300.0,,,
3695940,4668295,8325.0,8325.0,8325.0, 36 months,17.27,297.93,C,C5,Stewarts Shops,7 years,MORTGAGE,25000.0,Not Verified,Mar-2013,Default,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=3695940,  Borrower added on 03/09/13 > I would like to use this money to pay off my credit cards and have the chance to start fresh. By removing these credit card debts I can focus on my one monthly payment for this loan and better my own finacial situation.<br>,debt_consolidation,Debt saver,122xx,NY,17.23,2.0,Apr-1999,1.0,23.0,,24.0,0.0,7488.0,64.6,48.0,f,1683.51,1683.51,8941.9,8941.9,6641.49,2285.41,15.0,0.0,0.0,Sep-2015,297.93,Feb-2016,Jan-2016,0.0,58.0,1.0,INDIVIDUAL,,,,0.0,0.0,85921.0,,,,,,,,,,,,11600.0,,,
8659725,10431506,19575.0,19575.0,19575.0, 60 months,19.52,513.41,D,D4,customer service represensative,10+ years,OWN,45000.0,Source Verified,Nov-2013,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=8659725,,debt_consolidation,debt consolidation,302xx,GA,10.16,0.0,Jun-2001,1.0,,,7.0,0.0,5479.0,22.6,17.0,w,0.0,0.0,19893.42,19893.42,19575.0,318.42,0.0,0.0,0.0,Dec-2013,19893.42,,Dec-2013,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,134333.0,,,,,,,,,,,,24200.0,,,
6818560,6338859,15000.0,15000.0,15000.0, 60 months,24.89,439.31,F,F4,Le Colonial,10+ years,RENT,60000.0,Verified,Sep-2013,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=6818560,  Borrower added on 08/20/13 > This loan will be used to pay off credit cards that I have from college that had high balances.  I no longer use the cards.<br>,credit_card,5 Year Credit Card Pay-off Plan!,606xx,IL,19.16,0.0,Oct-2000,2.0,,,14.0,0.0,18688.0,93.7,20.0,f,0.0,0.0,18819.8192798,18819.82,15000.0,3819.82,0.0,0.0,0.0,Oct-2014,13549.25,,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,69177.0,,,,,,,,,,,,19935.0,,,
1508981,1770631,2000.0,2000.0,2000.0, 36 months,13.11,67.5,B,B4,Ocean Honda,< 1 year,RENT,25000.0,Source Verified,Sep-2012,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1508981,  Borrower added on 08/28/12 > Loan is to pay off my high interest credit cards.<br>,credit_card,credit card clean up,950xx,CA,18.58,0.0,Sep-2007,0.0,,,6.0,0.0,4171.0,62.3,9.0,f,0.0,0.0,2397.81970269,2397.82,2000.0,397.82,0.0,0.0,0.0,Aug-2015,39.64,,Aug-2015,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,12072.0,,,,,,,,,,,,6700.0,,,
42884364,45881089,35000.0,35000.0,35000.0, 60 months,12.69,790.82,C,C2,,,MORTGAGE,92400.0,Verified,Mar-2015,Late (31-120 days),n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=42884364,,debt_consolidation,Debt consolidation,956xx,CA,27.97,1.0,Oct-1983,0.0,14.0,,15.0,0.0,30114.0,45.2,24.0,w,32408.15,32408.15,4695.57,4695.57,2591.85,2103.72,0.0,0.0,0.0,Sep-2015,790.82,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,560033.0,,,,,,,,,,,,66600.0,,,
37620804,40383598,16975.0,16975.0,16975.0, 60 months,25.57,503.93,F,F5,charge nurse,3 years,RENT,50000.0,Verified,Jan-2015,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=37620804,,other,Other,132xx,NY,16.11,2.0,May-2005,0.0,12.0,,11.0,0.0,11254.0,61.2,22.0,f,0.0,0.0,3479.28,3479.28,1061.5,2417.78,0.0,0.0,0.0,Aug-2015,503.93,,Jan-2016,0.0,12.0,1.0,INDIVIDUAL,,,,0.0,295.0,78870.0,,,,,,,,,,,,18400.0,,,
15940773,18033271,21950.0,21950.0,21950.0, 60 months,19.52,575.7,E,E2,Undewriting Manager,2 years,RENT,140000.0,Source Verified,Jul-2014,Late (31-120 days),n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=15940773,,home_improvement,Home improvement,971xx,OR,11.95,0.0,Oct-1996,1.0,47.0,109.0,8.0,1.0,5116.0,63.2,13.0,w,19584.22,19584.22,8059.8,8059.8,2365.78,5694.02,0.0,0.0,0.0,Jan-2016,575.7,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,362.0,239724.0,,,,,,,,,,,,8100.0,,,
40580601,43445334,10225.0,10225.0,10225.0, 60 months,25.8,304.94,G,G1,DCA I,< 1 year,RENT,32000.0,Source Verified,Feb-2015,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=40580601,,credit_card,Credit card refinancing,432xx,OH,17.4,0.0,Sep-2010,0.0,,,9.0,0.0,9244.0,63.8,9.0,f,0.0,0.0,1215.1,1215.1,351.55,853.55,10.0,0.0,0.0,Sep-2015,10.0,,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,39594.0,,,,,,,,,,,,14500.0,,,
63217189,67568972,20000.0,20000.0,19775.0, 60 months,15.61,482.23,D,D1,Clerk,10+ years,MORTGAGE,82000.0,Source Verified,Oct-2015,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=63217189,,debt_consolidation,Debt consolidation,444xx,OH,10.86,0.0,Sep-2000,1.0,,,13.0,0.0,25719.0,74.5,28.0,f,0.0,0.0,20627.29,20395.23,20000.0,627.29,0.0,0.0,0.0,Dec-2015,20162.4,,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,166192.0,,,,,,,,,,,,34500.0,,,
