feature,iv
int_rate,0.48675817464955073
sub_grade,0.3101561402651974
grade,0.2803926371293596
initial_list_status,0.20807927750519786
total_rev_hi_lim,0.16282080147465053
total_pymnt,0.156112400990163
tot_cur_bal,0.14842540027603054
annual_inc,0.07057153830096174
inq_last_6mths,0.06791830034226073
purpose,0.0537600187877639
verification_status,0.04672576458605657
revol_util,0.04055419082036622
addr_state,0.035006618746590286
mths_since_last_record,0.02681425698833291
home_ownership,0.02334478489566353
term,0.017442959521649058
tot_coll_amt,0.016060024061268646
mths_since_last_major_derog,0.013233671952415933
revol_bal,0.012212898814352674
dti,0.011411068522137698
emp_length,0.010928151806838033
open_acc,0.009527329778126706
total_acc,0.008501892091185926
mths_since_last_delinq,0.005756936565406214
pub_rec,0.005578963318830603
installment,0.0047311555907824515
loan_amnt,0.003609252625910264
delinq_2yrs,0.0010202194072193417
acc_now_delinq,0.00045510180583761687
collections_12_mths_ex_med,0.0
